,sex,college,age,vote
20065,2,1,65-79,1
20066,1,0,65-79,1
20067,2,0,18-25,1
20068,2,1,65-79,2
20069,2,1,65-79,1
20070,2,0,18-25,1
20071,1,1,18-25,1
20072,1,0,47-65,2
20073,1,0,26-34,2
20074,2,0,47-65,1
20075,2,1,47-65,1
20076,1,1,47-65,1
20077,1,0,65-79,2
20078,1,0,47-65,1
20079,2,0,47-65,2
20080,2,1,47-65,2
20081,1,0,35-46,2
20082,2,1,47-65,2
20083,2,1,35-46,2
20084,1,1,26-34,1
20085,2,0,80+,1
20086,1,1,65-79,2
20087,2,1,47-65,1
20088,2,1,65-79,2
20089,1,0,80+,1
20090,1,1,65-79,1
20091,2,0,18-25,1
20092,1,1,26-34,2
20093,1,1,26-34,2
20094,2,1,47-65,2
20095,2,1,65-79,2
20096,1,1,80+,1
20097,1,0,65-79,2
20098,1,1,47-65,1
20099,2,0,35-46,1
20100,1,1,35-46,1
20101,1,1,35-46,1
20102,2,0,35-46,2
20103,2,1,65-79,2
20104,2,0,18-25,1
20105,1,0,65-79,2
20106,1,0,35-46,1
20107,1,1,47-65,2
20108,2,0,35-46,2
20109,1,1,26-34,2
20110,1,1,18-25,1
20111,2,0,47-65,1
20112,2,1,65-79,2
20113,2,1,26-34,1
20114,1,0,18-25,2
20115,2,1,80+,1
20116,1,1,35-46,1
20117,2,1,47-65,1
20118,1,1,47-65,1
20119,2,0,26-34,2
20120,1,1,26-34,1
20121,2,1,47-65,2
20122,1,1,47-65,1
20123,2,1,47-65,1
20124,2,1,18-25,2
20125,1,1,65-79,1
20126,2,0,26-34,1
20127,2,1,26-34,1
20128,2,1,26-34,1
20129,1,1,47-65,1
20130,2,1,47-65,1
20131,2,1,35-46,1
20132,2,0,47-65,1
20133,2,1,65-79,1
20134,1,1,47-65,2
20135,1,1,35-46,1
20136,2,0,35-46,2
20137,1,0,26-34,1
20138,1,1,47-65,2
20139,2,1,47-65,2
20140,1,0,47-65,2
20141,1,1,65-79,2
20142,1,0,65-79,2
20143,1,0,47-65,1
20144,1,1,65-79,1
20145,2,1,35-46,1
20146,1,1,47-65,1
20147,2,0,35-46,1
20148,2,0,35-46,1
20149,2,1,35-46,2
20150,1,1,35-46,2
20151,2,0,35-46,2
20152,1,1,26-34,1
20153,1,0,47-65,2
20154,2,0,35-46,2
20155,2,1,65-79,2
20156,1,0,35-46,2
20157,1,1,26-34,1
20158,1,1,35-46,1
20159,2,0,65-79,2
20160,1,1,47-65,1
20161,1,0,47-65,2
20162,2,1,65-79,1
20163,2,1,80+,1
20164,1,1,26-34,2
20165,2,1,35-46,1
20166,2,1,35-46,1
20167,2,0,47-65,1
20168,1,1,47-65,1
20169,1,1,47-65,2
20170,1,1,47-65,1
20171,2,1,47-65,1
20172,1,0,26-34,1
20173,2,1,47-65,2
20174,1,1,18-25,1
20175,2,0,47-65,2
20176,2,0,18-25,2
20177,1,1,18-25,1
20178,1,0,47-65,1
20179,1,0,18-25,1
20180,2,1,47-65,1
20181,2,0,65-79,1
20182,1,0,26-34,2
20183,2,1,47-65,1
20184,2,0,26-34,1
20185,2,1,26-34,1
20186,1,1,26-34,1
20187,2,1,80+,1
20188,2,0,65-79,2
20189,1,0,47-65,2
20190,1,0,18-25,1
20191,2,0,65-79,1
20192,2,1,26-34,2
20193,2,1,65-79,1
20194,2,1,47-65,2
20195,1,1,47-65,1
20196,1,1,35-46,1
20197,2,1,26-34,1
20198,2,1,18-25,2
20199,1,0,65-79,2
20200,1,0,26-34,2
20201,2,0,65-79,1
20202,1,0,65-79,1
20203,1,1,47-65,1
20204,2,0,35-46,2
20205,1,1,65-79,1
20206,2,1,35-46,1
20207,1,1,35-46,2
20208,2,0,26-34,2
20209,2,0,35-46,2
20210,2,0,65-79,2
20211,2,1,35-46,1
20212,1,0,47-65,1
20213,2,0,26-34,2
20214,2,1,65-79,1
20215,1,0,47-65,1
20216,1,0,47-65,1
20217,1,0,47-65,2
20218,2,1,35-46,2
20219,2,1,35-46,2
20220,1,0,47-65,1
20221,2,1,26-34,1
20222,2,1,35-46,2
20223,2,0,47-65,2
20224,1,1,35-46,2
20225,1,1,47-65,1
20226,2,0,80+,1
20227,2,1,26-34,2
20228,2,1,26-34,1
20229,2,1,47-65,2
20230,1,1,26-34,2
20231,1,1,47-65,1
20232,2,1,35-46,2
20233,1,0,47-65,2
20234,2,1,47-65,2
20235,1,1,35-46,1
20236,1,1,65-79,1
20237,2,1,65-79,1
20238,2,0,80+,2
20239,2,0,47-65,2
20240,2,1,65-79,1
20241,2,1,65-79,1
20242,1,1,47-65,1
20243,2,1,35-46,2
20244,2,1,47-65,1
20245,1,1,26-34,2
20246,2,1,65-79,1
20247,1,0,65-79,1
20248,2,0,65-79,2
20249,1,1,47-65,2
20250,2,1,65-79,1
20251,2,0,47-65,2
20252,2,0,65-79,1
20253,2,1,47-65,1
20254,2,1,47-65,2
20255,2,0,65-79,1
20256,1,0,65-79,2
20257,2,1,65-79,2
20258,1,1,65-79,2
20259,2,1,47-65,2
20260,2,0,47-65,2
20261,2,1,47-65,2
20262,1,0,47-65,1
20263,1,1,65-79,1
20264,2,0,35-46,1
20265,2,1,35-46,2
20266,2,0,47-65,1
20267,1,1,65-79,2
20268,1,0,47-65,1
20269,1,0,35-46,2
20270,1,1,47-65,1
20271,2,0,35-46,2
20272,1,0,18-25,1
20273,1,0,47-65,2
20274,1,1,26-34,1
20275,2,1,35-46,2
20276,2,0,47-65,1
20277,1,1,26-34,1
20278,1,0,65-79,1
20279,2,1,18-25,1
20280,2,0,80+,1
20281,1,1,65-79,2
20282,1,0,65-79,2
20283,1,0,65-79,1
20284,2,1,65-79,1
20285,2,1,35-46,2
20286,2,1,65-79,1
20287,2,0,80+,2
20288,2,0,65-79,2
20289,2,1,47-65,1
20290,1,0,65-79,2
20291,1,1,47-65,1
20292,2,1,35-46,2
20293,1,1,65-79,1
20294,1,0,47-65,1
20295,2,0,35-46,1
20296,1,0,26-34,2
20297,1,0,80+,1
20298,1,1,47-65,1
20299,2,0,35-46,1
20300,2,1,47-65,1
20301,2,1,65-79,2
20302,1,1,35-46,1
20303,1,1,65-79,2
20304,2,0,65-79,2
20305,2,1,18-25,1
20306,2,0,47-65,1
20307,2,1,35-46,1
20308,2,1,47-65,1
20309,1,1,35-46,1
20310,2,1,26-34,1
20311,2,0,47-65,1
20312,2,1,47-65,2
20313,1,0,65-79,1
20314,1,0,18-25,1
20315,1,1,35-46,1
20316,2,1,47-65,1
20317,1,1,26-34,1
20318,2,0,65-79,1
20319,2,1,35-46,2
20320,1,1,47-65,1
20321,2,1,18-25,1
20322,2,1,47-65,1
20323,1,0,47-65,1
20324,2,0,65-79,1
20325,1,1,47-65,1
20326,1,1,47-65,2
20327,2,1,65-79,2
20328,2,1,65-79,1
20329,2,1,26-34,1
20330,1,0,26-34,1
20331,2,1,47-65,1
20332,1,0,65-79,1
20333,2,1,65-79,1
20334,1,1,47-65,2
20335,1,1,65-79,1
20336,2,1,26-34,2
20337,2,1,18-25,1
20338,2,0,26-34,2
20339,2,0,65-79,2
20340,2,0,47-65,2
20341,1,1,47-65,2
20342,1,0,65-79,1
20343,1,0,65-79,1
20344,2,0,26-34,2
20345,1,0,35-46,1
20346,2,1,80+,1
20347,2,1,47-65,1
20348,2,1,47-65,1
20349,2,0,65-79,1
20350,1,1,80+,2
20351,2,1,35-46,2
20352,2,0,80+,1
20353,2,0,47-65,1
20354,2,1,65-79,1
20355,1,0,47-65,1
20356,2,1,47-65,1
20357,2,1,26-34,1
20358,2,1,26-34,1
20359,1,0,35-46,1
20360,1,0,26-34,1
20361,1,0,26-34,2
20362,1,1,47-65,2
20363,2,0,47-65,1
20364,1,0,65-79,1
20365,1,0,65-79,2
20366,1,1,47-65,1
20367,2,1,47-65,1
20368,1,0,35-46,2
20369,1,0,47-65,2
20370,1,0,26-34,2
20371,1,0,47-65,1
20372,2,1,26-34,1
20373,2,0,65-79,1
20374,2,1,65-79,1
20375,2,1,65-79,1
20376,1,0,35-46,1
20377,1,0,65-79,2
20378,1,1,47-65,1
20379,2,0,65-79,1
20380,1,1,35-46,1
20381,2,1,18-25,2
20382,2,0,65-79,1
20383,1,1,65-79,1
20384,2,0,18-25,1
20385,1,1,35-46,1
20386,1,0,80+,1
20387,1,0,65-79,2
20388,1,1,65-79,2
20389,1,1,35-46,2
20390,2,0,47-65,2
20391,1,1,65-79,1
20392,1,1,47-65,1
20393,1,1,65-79,2
20394,1,1,65-79,1
20395,1,1,26-34,2
20396,1,1,47-65,2
20397,1,1,47-65,1
20398,1,0,35-46,1
20399,1,1,35-46,1
20400,2,0,65-79,1
20401,2,0,65-79,1
20402,1,1,65-79,2
20403,2,0,47-65,2
20404,2,1,47-65,1
20405,1,1,47-65,1
20406,2,0,47-65,2
20407,1,1,47-65,2
20408,2,1,47-65,2
20409,2,1,80+,1
20410,2,0,47-65,1
20411,1,0,47-65,1
20412,1,1,80+,1
20413,1,1,47-65,1
20414,1,1,47-65,1
20415,1,0,47-65,2
20416,1,0,47-65,1
20417,1,1,47-65,2
20418,1,0,65-79,1
20419,1,1,35-46,1
20420,1,1,47-65,1
20421,2,1,65-79,2
20422,2,0,47-65,2
20423,1,1,65-79,2
20424,2,0,47-65,2
20425,1,1,65-79,1
20426,2,1,65-79,2
20427,1,1,26-34,2
20428,1,1,47-65,2
20429,2,1,26-34,2
20430,2,1,35-46,2
20431,2,0,80+,1
20432,2,1,35-46,1
20433,1,1,47-65,1
20434,2,0,26-34,1
20435,2,0,18-25,1
20436,2,1,47-65,1
20437,1,1,26-34,1
20438,2,0,26-34,1
20439,2,1,35-46,1
20440,1,0,47-65,1
20441,2,0,47-65,1
20442,2,1,80+,2
20443,1,0,47-65,2
20444,2,1,35-46,1
20445,1,1,35-46,1
20446,1,1,47-65,1
20447,2,0,65-79,1
20448,2,0,65-79,1
20449,1,0,65-79,1
20450,1,1,65-79,1
20451,2,0,80+,2
20452,2,0,47-65,1
20453,2,0,47-65,1
20454,1,1,47-65,2
20455,1,1,47-65,2
20456,2,0,26-34,1
20457,1,1,35-46,2
20458,2,0,47-65,1
20459,2,0,47-65,1
20460,1,0,47-65,1
20461,1,1,47-65,2
20462,1,0,47-65,1
20463,1,1,47-65,2
20464,2,0,47-65,1
20465,1,1,35-46,1
20466,1,0,47-65,1
20467,2,0,18-25,1
20468,1,0,65-79,2
20469,2,1,26-34,1
20470,2,1,26-34,1
20471,1,1,47-65,2
20472,2,1,47-65,2
20473,1,1,47-65,2
20474,2,1,47-65,1
20475,2,1,47-65,1
20476,1,1,47-65,1
20477,1,1,47-65,1
20478,2,1,26-34,1
20479,2,0,65-79,2
20480,2,1,47-65,2
20481,1,1,80+,1
20482,2,1,18-25,2
20483,1,0,35-46,2
20484,2,0,26-34,2
20485,2,1,35-46,1
20486,2,1,47-65,2
20487,1,0,26-34,1
20488,2,0,47-65,2
20489,1,1,47-65,1
20490,1,0,18-25,1
20491,2,0,35-46,1
20492,2,1,35-46,1
20493,2,1,47-65,1
20494,2,1,65-79,1
20495,2,0,65-79,1
20496,2,1,47-65,2
20497,1,0,65-79,2
20498,1,0,47-65,2
20499,1,0,80+,1
20500,1,0,35-46,2
20501,2,0,47-65,1
20502,2,0,65-79,1
20503,2,0,47-65,2
20504,1,1,35-46,2
20505,2,1,35-46,2
20506,2,1,47-65,1
20507,1,0,65-79,2
20508,1,0,65-79,2
20509,2,1,26-34,1
20510,1,1,26-34,2
20511,1,1,65-79,1
20512,1,0,26-34,1
20513,2,1,65-79,1
20514,1,1,47-65,1
20515,1,1,26-34,1
20516,2,0,47-65,2
20517,2,1,26-34,1
20518,1,0,47-65,1
20519,1,1,65-79,2
20520,2,1,35-46,2
20521,2,1,47-65,1
20522,1,0,35-46,1
20523,1,1,47-65,2
20524,2,1,35-46,2
20525,1,1,35-46,1
20526,1,1,26-34,2
20527,2,1,35-46,2
20528,2,0,65-79,2
20529,1,1,47-65,1
20530,1,1,47-65,1
20531,2,0,47-65,2
20532,1,0,47-65,2
20533,1,1,26-34,2
20534,2,0,35-46,1
20535,1,0,80+,1
20536,1,1,65-79,1
20537,2,1,26-34,2
20538,2,0,35-46,1
20539,2,1,47-65,1
20540,2,1,26-34,1
20541,1,1,26-34,1
20542,2,1,35-46,2
20543,2,0,65-79,2
20544,1,1,35-46,2
20545,1,0,65-79,2
20546,2,1,47-65,2
20547,1,1,35-46,2
20548,1,0,47-65,1
20549,2,1,26-34,1
20550,1,0,65-79,2
20551,1,1,47-65,1
20552,1,0,35-46,2
20553,2,1,35-46,1
20554,1,0,47-65,1
20555,1,0,47-65,1
20556,1,1,80+,1
20557,1,0,47-65,1
20558,1,1,47-65,2
20559,1,0,26-34,2
20560,1,1,65-79,1
20561,1,1,26-34,1
20562,2,1,65-79,1
20563,2,1,47-65,1
20564,1,0,80+,1
20565,2,1,65-79,2
20566,2,1,35-46,1
20567,1,0,47-65,1
20568,2,0,47-65,1
20569,1,1,65-79,2
20570,2,1,65-79,2
20571,1,1,65-79,2
20572,1,1,65-79,1
20573,1,1,47-65,1
20574,1,1,47-65,1
20575,1,1,26-34,1
20576,2,1,47-65,1
20577,1,1,65-79,1
20578,1,0,47-65,2
20579,2,0,26-34,1
20580,2,1,65-79,1
20581,2,1,35-46,2
20582,2,0,47-65,1
20583,2,1,65-79,1
20584,1,0,18-25,1
20585,1,1,65-79,1
20586,2,1,47-65,1
20587,1,0,26-34,2
20588,1,0,65-79,2
20589,2,1,26-34,2
20590,2,1,35-46,1
20591,2,0,35-46,1
20592,1,1,35-46,2
20593,1,0,35-46,2
20594,2,0,65-79,1
20595,1,0,47-65,2
20596,2,1,47-65,2
20597,1,1,47-65,2
20598,2,0,65-79,1
20599,1,1,47-65,1
20600,2,1,65-79,1
20601,1,1,26-34,1
20602,1,1,47-65,1
20603,2,1,35-46,1
20604,2,1,47-65,1
20605,1,1,80+,2
20606,1,0,65-79,1
20607,2,0,65-79,1
20608,1,0,65-79,2
20609,1,0,65-79,1
20610,1,0,18-25,1
20611,2,1,35-46,1
20612,1,0,26-34,2
20613,1,1,35-46,1
20614,1,0,26-34,1
20615,2,1,35-46,2
20616,2,1,65-79,1
20617,1,1,35-46,1
20618,2,1,26-34,1
20619,2,0,47-65,1
20620,1,1,26-34,1
20621,1,1,65-79,2
20622,2,0,65-79,2
20623,2,1,47-65,1
20624,2,0,47-65,2
20625,2,0,65-79,2
20626,1,0,47-65,2
20627,1,1,35-46,2
20628,2,0,47-65,1
20629,1,0,35-46,2
20630,2,1,47-65,2
20631,2,1,47-65,2
20632,1,1,80+,2
20633,1,0,35-46,1
20634,1,1,47-65,2
20635,2,1,47-65,2
20636,2,1,35-46,1
20637,2,0,47-65,2
20638,1,1,47-65,2
20639,2,0,47-65,2
20640,1,1,65-79,1
20641,1,0,47-65,1
20642,2,1,47-65,1
20643,1,1,65-79,1
20644,2,1,47-65,2
20645,1,1,26-34,1
20646,2,1,47-65,1
20647,1,0,80+,1
20648,1,0,80+,1
20649,1,1,35-46,2
20650,2,0,65-79,2
20651,1,1,35-46,2
20652,2,1,80+,1
20653,1,0,35-46,2
20654,2,1,26-34,2
20655,1,1,35-46,1
20656,1,1,35-46,1
20657,1,1,80+,1
20658,2,0,65-79,1
20659,1,0,47-65,2
20660,1,0,47-65,1
20661,1,1,26-34,1
20662,2,0,47-65,2
20663,1,0,47-65,2
20664,1,0,47-65,1
20665,1,1,26-34,1
20666,1,1,26-34,1
20667,2,0,47-65,2
20668,2,0,47-65,2
20669,2,1,65-79,2
20670,2,1,47-65,2
20671,1,1,47-65,1
20672,1,1,65-79,1
20673,1,0,47-65,2
20674,1,0,65-79,1
20675,1,1,18-25,1
20676,1,1,35-46,2
20677,2,1,35-46,1
20678,2,0,80+,2
20679,1,0,47-65,2
20680,2,1,35-46,1
20681,2,1,26-34,1
20682,2,1,47-65,1
20683,2,1,47-65,2
20684,2,1,35-46,1
20685,1,1,35-46,1
20686,1,1,65-79,2
20687,2,1,26-34,1
20688,1,0,35-46,2
20689,1,0,26-34,2
20690,1,1,65-79,2
20691,2,1,65-79,2
20692,1,0,80+,2
20693,2,0,65-79,2
20694,2,0,47-65,1
20695,1,0,18-25,1
20696,1,1,80+,1
20697,1,1,47-65,1
20698,2,1,26-34,1
20699,2,1,47-65,1
20700,1,1,65-79,2
20701,1,1,65-79,2
20702,1,1,65-79,2
20703,2,1,47-65,1
20704,2,0,80+,1
20705,1,1,47-65,1
20706,2,1,47-65,2
20707,2,0,47-65,2
20708,2,1,65-79,1
20709,1,1,18-25,2
20710,2,1,47-65,2
20711,2,1,26-34,2
20712,1,0,65-79,1
20713,1,1,80+,1
20714,2,0,26-34,1
20715,2,0,65-79,2
20716,2,1,18-25,1
20717,1,1,35-46,2
20718,1,1,26-34,1
20719,1,0,18-25,1
20720,1,1,26-34,1
20721,2,1,35-46,2
20722,2,1,35-46,1
20723,1,1,35-46,1
20724,2,0,35-46,2
20725,2,1,35-46,1
20726,2,1,18-25,1
20727,2,0,47-65,1
20728,2,1,35-46,2
20729,1,1,47-65,2
20730,1,0,47-65,1
20731,1,0,47-65,1
20732,1,0,47-65,2
20733,1,1,47-65,1
20734,1,0,26-34,2
20735,1,1,47-65,2
20736,2,1,47-65,1
20737,2,1,47-65,1
20738,1,0,65-79,2
20739,2,0,65-79,2
20740,2,0,47-65,2
20741,2,1,65-79,1
20742,1,0,35-46,2
20743,1,0,80+,2
20744,1,1,47-65,2
20745,1,1,47-65,1
20746,1,0,47-65,1
20747,2,1,35-46,1
20748,2,0,18-25,2
20749,1,0,47-65,1
20750,2,0,26-34,2
20751,1,0,35-46,1
20752,2,0,80+,2
20753,1,1,26-34,1
20754,2,1,80+,1
20755,2,1,47-65,1
20756,1,1,35-46,1
20757,2,1,65-79,2
20758,1,1,47-65,2
20759,2,0,18-25,2
20760,2,1,47-65,2
20761,1,0,65-79,2
20762,2,0,65-79,1
20763,1,1,47-65,2
20764,2,1,65-79,1
20765,2,0,47-65,2
20766,2,1,26-34,1
20767,1,1,65-79,1
20768,2,0,35-46,1
20769,1,0,47-65,1
20770,1,1,26-34,2
20771,1,0,65-79,1
20772,2,1,65-79,1
20773,2,0,26-34,1
20774,1,1,47-65,2
20775,2,1,47-65,1
20776,1,0,47-65,1
20777,1,0,26-34,2
20778,2,0,65-79,1
20779,2,1,35-46,2
20780,1,1,65-79,2
20781,1,1,26-34,1
20782,1,1,35-46,1
20783,1,0,47-65,1
20784,2,1,47-65,2
20785,1,0,35-46,2
20786,2,0,35-46,1
20787,2,0,47-65,2
20788,1,1,26-34,1
20789,1,1,35-46,1
20790,2,1,26-34,1
20791,2,0,47-65,2
20792,2,1,47-65,1
20793,2,0,47-65,1
20794,1,1,35-46,1
20795,1,0,47-65,2
20796,2,0,35-46,1
20797,2,0,47-65,2
20798,1,1,65-79,1
20799,1,0,26-34,2
20800,2,0,26-34,1
20801,2,0,47-65,2
20802,2,0,18-25,2
20803,2,0,35-46,2
20804,1,1,35-46,1
20805,1,1,47-65,2
20806,1,1,35-46,2
20807,1,1,26-34,2
20808,2,0,47-65,1
20809,2,1,35-46,2
20810,2,1,65-79,2
20811,1,0,65-79,1
20812,1,0,65-79,1
20813,2,1,35-46,2
20814,2,1,47-65,1
20815,1,1,35-46,2
20816,2,0,47-65,1
20817,1,0,80+,1
20818,2,1,47-65,2
20819,2,1,47-65,2
20820,1,1,47-65,2
20821,2,1,47-65,2
20822,2,1,65-79,2
20823,1,1,47-65,1
20824,1,0,26-34,1
20825,2,1,80+,1
20826,1,1,26-34,1
20827,2,1,47-65,1
20828,1,0,47-65,2
20829,1,0,47-65,2
20830,2,1,47-65,2
20831,1,0,35-46,1
20832,2,1,47-65,1
20833,2,0,47-65,2
20834,2,1,47-65,1
20835,1,1,65-79,1
20836,1,1,35-46,2
20837,2,1,47-65,2
20838,2,1,65-79,1
20839,2,0,35-46,1
20840,2,0,65-79,1
20841,2,0,35-46,2
20842,1,0,18-25,2
20843,2,0,26-34,1
20844,2,0,65-79,2
20845,2,1,35-46,1
20846,1,0,47-65,2
20847,1,1,65-79,2
20848,2,0,65-79,1
20849,2,1,35-46,1
20850,2,0,47-65,1
20851,2,0,47-65,1
20852,2,1,47-65,1
20853,2,1,35-46,2
20854,2,0,35-46,2
20855,2,0,65-79,1
20856,1,0,65-79,2
20857,2,1,35-46,1
20858,1,0,80+,1
20859,1,1,47-65,2
20860,2,1,65-79,1
20861,2,0,35-46,1
20862,2,0,80+,1
20863,2,1,26-34,1
20864,2,0,47-65,2
20865,2,1,47-65,1
20866,1,1,65-79,2
20867,2,0,65-79,2
20868,2,0,35-46,2
20869,2,1,47-65,1
20870,1,0,47-65,1
20871,2,1,35-46,2
20872,2,1,47-65,1
20873,2,1,80+,2
20874,2,0,47-65,2
20875,1,1,35-46,1
20876,2,0,47-65,1
20877,2,0,65-79,2
20878,2,0,35-46,1
20879,1,1,65-79,2
20880,2,1,65-79,1
20881,2,0,65-79,1
20882,1,1,26-34,1
20883,2,0,18-25,1
20884,2,0,26-34,2
20885,1,1,26-34,2
20886,2,0,47-65,2
20887,2,0,35-46,2
20888,1,0,26-34,1
20889,1,0,47-65,1
20890,1,1,35-46,2
20891,1,0,65-79,1
20892,2,1,35-46,1
20893,2,0,35-46,1
20894,2,1,65-79,1
20895,2,1,47-65,1
20896,2,1,47-65,1
20897,2,1,35-46,2
20898,2,1,47-65,1
20899,2,1,26-34,1
20900,2,0,47-65,2
20901,1,1,47-65,1
20902,2,1,35-46,1
20903,1,1,65-79,2
20904,1,1,26-34,1
20905,1,1,65-79,1
20906,1,1,47-65,2
20907,1,1,47-65,1
20908,1,1,47-65,1
20909,2,1,65-79,2
20910,2,1,26-34,1
20911,2,0,47-65,1
20912,2,0,35-46,1
20913,2,1,65-79,1
20914,1,1,18-25,1
20915,2,0,65-79,1
20916,2,0,47-65,2
20917,2,0,47-65,1
20918,1,1,47-65,1
20919,2,1,26-34,1
20920,2,1,65-79,1
20921,2,0,65-79,2
20922,2,1,35-46,1
20923,1,0,47-65,1
20924,1,0,47-65,1
20925,2,0,47-65,1
20926,2,0,18-25,2
20927,2,1,65-79,1
20928,1,0,65-79,1
20929,2,1,47-65,2
20930,1,0,47-65,1
20931,1,0,26-34,1
20932,2,1,80+,1
20933,2,0,26-34,1
20934,1,0,35-46,1
20935,1,1,35-46,1
20936,1,1,80+,2
20937,1,1,35-46,2
20938,2,0,80+,1
20939,2,1,18-25,1
20940,1,0,47-65,2
20941,2,0,47-65,2
20942,2,0,47-65,1
20943,2,1,65-79,1
20944,1,0,65-79,2
20945,1,1,47-65,1
20946,2,0,26-34,1
20947,2,1,26-34,1
20948,1,1,65-79,1
20949,1,0,35-46,1
20950,2,1,47-65,2
20951,2,0,47-65,1
20952,1,1,26-34,2
20953,2,0,18-25,2
20954,1,1,18-25,1
20955,2,1,47-65,2
20956,1,1,18-25,1
20957,2,1,26-34,1
20958,2,1,65-79,2
20959,2,1,35-46,2
20960,2,0,80+,1
20961,1,0,47-65,1
20962,1,1,35-46,2
20963,1,1,65-79,2
20964,1,0,35-46,1
20965,1,1,47-65,2
20966,1,1,26-34,1
20967,1,1,18-25,2
20968,1,1,26-34,1
20969,1,1,35-46,1
20970,1,1,35-46,2
20971,2,1,26-34,1
20972,1,1,65-79,1
20973,1,1,35-46,1
20974,2,1,35-46,2
20975,2,1,47-65,1
20976,2,0,47-65,2
20977,1,1,35-46,1
20978,2,1,65-79,2
20979,2,0,47-65,1
20980,1,1,35-46,1
20981,2,1,26-34,1
20982,1,1,26-34,1
20983,2,0,35-46,1
20984,1,0,65-79,2
20985,2,1,35-46,1
20986,2,1,47-65,2
20987,1,1,65-79,2
20988,1,1,47-65,2
20989,1,0,47-65,2
20990,1,0,47-65,1
20991,2,1,47-65,2
20992,2,1,47-65,1
20993,1,1,80+,2
20994,2,0,65-79,1
20995,2,1,47-65,2
20996,1,0,65-79,2
20997,2,0,26-34,1
20998,2,0,47-65,1
20999,2,1,47-65,1
21000,2,1,47-65,1
21001,2,1,65-79,1
21002,1,0,35-46,1
21003,1,0,26-34,1
21004,1,0,26-34,2
21005,2,1,35-46,2
21006,1,0,47-65,2
21007,1,1,47-65,1
21008,1,1,80+,2
21009,2,0,47-65,1
21010,2,0,80+,2
21011,1,1,35-46,1
21012,2,1,35-46,1
21013,2,1,47-65,2
21014,1,1,47-65,2
21015,1,1,47-65,2
21016,2,1,26-34,1
21017,2,1,26-34,2
21018,2,1,47-65,1
21019,1,0,47-65,1
21020,2,1,47-65,2
21021,1,0,47-65,2
21022,1,0,18-25,1
21023,2,0,65-79,2
21024,2,1,26-34,1
21025,1,0,65-79,1
21026,1,1,47-65,1
21027,2,0,35-46,2
21028,1,1,26-34,1
21029,1,1,47-65,1
21030,2,0,65-79,1
21031,2,0,65-79,1
21032,2,1,47-65,1
21033,2,0,18-25,2
21034,2,0,35-46,2
21035,2,0,47-65,1
21036,1,1,47-65,2
21037,2,1,35-46,2
21038,2,1,18-25,2
21039,2,1,47-65,1
21040,2,0,80+,1
21041,2,1,65-79,2
21042,1,0,65-79,1
21043,1,1,18-25,1
21044,2,1,47-65,1
21045,1,1,65-79,2
21046,2,0,35-46,2
21047,1,1,47-65,1
21048,2,1,47-65,1
21049,1,1,47-65,1
21050,1,1,80+,1
21051,1,0,47-65,2
21052,2,1,26-34,2
21053,2,1,26-34,1
21054,2,1,35-46,2
21055,1,1,65-79,1
21056,2,1,26-34,1
21057,1,0,65-79,2
21058,2,1,65-79,1
21059,2,0,80+,1
21060,2,0,80+,1
21061,2,0,47-65,1
21062,1,0,47-65,1
21063,1,1,47-65,1
21064,1,0,47-65,1
21065,1,1,65-79,2
21066,1,1,47-65,2
21067,2,1,80+,2
21068,2,0,47-65,2
21069,2,1,65-79,1
21070,1,1,35-46,1
21071,2,1,47-65,1
21072,1,1,35-46,2
21073,1,1,47-65,2
21074,1,0,80+,1
21075,1,0,65-79,1
21076,1,0,47-65,2
21077,2,1,35-46,1
21078,1,1,26-34,1
21079,2,1,65-79,1
21080,2,0,47-65,1
21081,2,0,47-65,2
21082,2,1,47-65,2
21083,1,1,65-79,2
21084,2,0,65-79,2
21085,1,1,65-79,2
21086,2,1,47-65,1
21087,2,1,65-79,1
21088,2,0,26-34,1
21089,1,1,65-79,1
21090,1,0,47-65,1
21091,1,1,47-65,1
21092,2,1,65-79,2
21093,1,1,65-79,1
21094,1,0,47-65,2
21095,1,1,47-65,2
21096,1,0,80+,2
21097,2,1,35-46,1
21098,2,0,18-25,2
21099,1,0,65-79,1
21100,1,0,35-46,2
21101,2,1,65-79,1
21102,1,0,35-46,1
21103,2,0,80+,2
21104,2,1,47-65,1
21105,1,0,18-25,1
21106,1,1,65-79,2
21107,2,0,80+,1
21108,2,0,47-65,1
21109,2,0,35-46,1
21110,1,1,47-65,2
21111,2,1,47-65,1
21112,2,0,65-79,2
21113,2,0,35-46,2
21114,2,0,18-25,1
21115,2,0,47-65,2
21116,1,1,47-65,2
21117,2,1,80+,2
21118,2,0,18-25,1
21119,1,0,47-65,2
21120,2,1,35-46,1
21121,1,1,47-65,2
21122,2,1,47-65,2
21123,2,1,26-34,1
21124,1,0,80+,1
21125,1,1,26-34,2
21126,2,1,65-79,1
21127,1,1,35-46,2
21128,1,0,47-65,2
21129,1,1,35-46,1
21130,2,0,47-65,2
21131,2,1,65-79,1
21132,2,0,80+,2
21133,1,1,47-65,2
21134,1,1,26-34,1
21135,1,1,47-65,1
21136,1,1,26-34,1
21137,1,0,65-79,1
21138,1,0,47-65,1
21139,2,1,47-65,2
21140,2,1,47-65,1
21141,2,1,35-46,2
21142,2,1,47-65,1
21143,2,1,80+,1
21144,1,1,47-65,2
21145,1,0,26-34,1
